Date,Time,Nitrogen oxides as nitrogen dioxide,Status
08/10/2016,24:00:00,43.56101,V ugm-3
09/10/2016,01:00:00,55.28145,V ugm-3
09/10/2016,02:00:00,45.13946,V ugm-3
09/10/2016,03:00:00,41.33678,V ugm-3
09/10/2016,04:00:00,26.12332,V ugm-3
09/10/2016,05:00:00,20.57468,V ugm-3
09/10/2016,06:00:00,15.52424,V ugm-3
09/10/2016,07:00:00,14.1525,V ugm-3
09/10/2016,08:00:00,20.44988,V ugm-3
09/10/2016,09:00:00,19.20341,V ugm-3
09/10/2016,10:00:00,19.63946,V ugm-3
09/10/2016,11:00:00,18.95335,V ugm-3
09/10/2016,12:00:00,16.52209,V ugm-3
09/10/2016,13:00:00,15.15035,V ugm-3
09/10/2016,14:00:00,18.08078,V ugm-3
09/10/2016,15:00:00,20.44988,V ugm-3
09/10/2016,16:00:00,23.00642,V ugm-3
09/10/2016,17:00:00,30.36333,V ugm-3
09/10/2016,18:00:00,35.03939,V ugm-3
09/10/2016,19:00:00,41.02456,V ugm-3
09/10/2016,20:00:00,42.89498,V ugm-3
09/10/2016,21:00:00,57.67144,V ugm-3
09/10/2016,22:00:00,45.57583,V ugm-3
09/10/2016,23:00:00,72.5722,V ugm-3
09/10/2016,24:00:00,91.71298,V ugm-3
10/10/2016,01:00:00,84.97811,V ugm-3
10/10/2016,02:00:00,64.65398,V ugm-3
10/10/2016,03:00:00,61.09959,V ugm-3
10/10/2016,04:00:00,41.71545,V ugm-3
10/10/2016,05:00:00,52.50482,V ugm-3
10/10/2016,06:00:00,82.92935,V ugm-3
10/10/2016,07:00:00,164.10158,V ugm-3
10/10/2016,08:00:00,179.4078,V ugm-3
10/10/2016,09:00:00,122.07296,V ugm-3
10/10/2016,10:00:00,51.6265,V ugm-3
10/10/2016,11:00:00,48.86677,V ugm-3
10/10/2016,12:00:00,35.12928,V ugm-3
10/10/2016,13:00:00,25.46828,V ugm-3
10/10/2016,14:00:00,28.47952,V ugm-3
10/10/2016,15:00:00,39.39463,V ugm-3
10/10/2016,16:00:00,34.5015,V ugm-3
10/10/2016,17:00:00,50.12089,V ugm-3
10/10/2016,18:00:00,61.28702,V ugm-3
10/10/2016,19:00:00,62.1027,V ugm-3
10/10/2016,20:00:00,64.1725,V ugm-3
10/10/2016,21:00:00,60.28343,V ugm-3
10/10/2016,22:00:00,49.99562,V ugm-3
10/10/2016,23:00:00,50.93705,V ugm-3
10/10/2016,24:00:00,36.3834,V ugm-3
11/10/2016,01:00:00,30.4623,V ugm-3
11/10/2016,02:00:00,37.8675,V ugm-3
11/10/2016,03:00:00,33.44962,V ugm-3
11/10/2016,04:00:00,26.00235,V ugm-3
11/10/2016,05:00:00,31.74559,V ugm-3
11/10/2016,06:00:00,46.57703,V ugm-3
11/10/2016,07:00:00,75.79811,V ugm-3
11/10/2016,08:00:00,86.3379,V ugm-3
11/10/2016,09:00:00,75.35633,V ugm-3
11/10/2016,10:00:00,62.86005,V ugm-3
11/10/2016,11:00:00,51.94159,V ugm-3
11/10/2016,12:00:00,46.26146,V ugm-3
11/10/2016,13:00:00,63.17561,V ugm-3
11/10/2016,14:00:00,59.70443,V ugm-3
11/10/2016,15:00:00,47.20815,V ugm-3
11/10/2016,16:00:00,47.4606,V ugm-3
11/10/2016,17:00:00,46.70325,V ugm-3
11/10/2016,18:00:00,38.56174,V ugm-3
11/10/2016,19:00:00,39.3822,V ugm-3
11/10/2016,20:00:00,25.30811,V ugm-3
11/10/2016,21:00:00,23.47785,V ugm-3
11/10/2016,22:00:00,18.87064,V ugm-3
11/10/2016,23:00:00,17.29283,V ugm-3
11/10/2016,24:00:00,25.11878,V ugm-3
12/10/2016,01:00:00,19.20341,V ugm-3
12/10/2016,02:00:00,14.63445,V ugm-3
12/10/2016,03:00:00,14.27586,V ugm-3
12/10/2016,04:00:00,12.62633,V ugm-3
12/10/2016,05:00:00,14.78315,V ugm-3
12/10/2016,06:00:00,24.49004,V ugm-3
12/10/2016,07:00:00,52.28058,V ugm-3
12/10/2016,08:00:00,67.76179,V ugm-3
12/10/2016,09:00:00,73.72592,V ugm-3
12/10/2016,10:00:00,52.09028,V ugm-3
12/10/2016,11:00:00,35.34013,V ugm-3
12/10/2016,12:00:00,30.89835,V ugm-3
12/10/2016,13:00:00,52.21699,V ugm-3
12/10/2016,14:00:00,36.60907,V ugm-3
12/10/2016,15:00:00,46.95092,V ugm-3
12/10/2016,16:00:00,62.81224,V ugm-3
12/10/2016,17:00:00,60.97241,V ugm-3
12/10/2016,18:00:00,40.35279,V ugm-3
12/10/2016,19:00:00,31.59689,V ugm-3
12/10/2016,20:00:00,22.71428,V ugm-3
12/10/2016,21:00:00,21.57204,V ugm-3
12/10/2016,22:00:00,19.85844,V ugm-3
12/10/2016,23:00:00,25.82305,V ugm-3
12/10/2016,24:00:00,22.20652,V ugm-3
13/10/2016,01:00:00,21.44614,V ugm-3
13/10/2016,02:00:00,14.80849,V ugm-3
13/10/2016,03:00:00,16.21274,V ugm-3
13/10/2016,04:00:00,15.00022,V ugm-3
13/10/2016,05:00:00,15.25506,V ugm-3
13/10/2016,06:00:00,20.87255,V ugm-3
13/10/2016,07:00:00,42.06353,V ugm-3
13/10/2016,08:00:00,77.93533,V ugm-3
13/10/2016,09:00:00,92.93603,V ugm-3
13/10/2016,10:00:00,95.23389,V ugm-3
13/10/2016,11:00:00,63.89328,V ugm-3
13/10/2016,12:00:00,58.02095,V ugm-3
13/10/2016,13:00:00,52.02143,V ugm-3
13/10/2016,14:00:00,57.12733,V ugm-3
